Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
1,1,1,0,19.28082437,,24.08924386,0.247109932,0,0,5.05212894,0,1,18.94444444,2
1,2,1,0,19.22453901,,24.19516588,0.216112441,0,0,5.2608676,0,1,18.94444444,2
1,3,1,0,19.18718105,,24.1828376,0.215118291,0,0,5.520523651,0,1,18.94444444,2
1,4,1,0,19.15649285,,24.10016785,0.21412414,0,0,5.700992842,0,1,18.94444444,2
1,5,1,0,19.24145405,,23.84666859,0.21312999,0,0,5.903800487,0,1,19.05555556,2
1,6,1,0,19.44807558,,23.44194161,0.21312999,0,0,6.175599101,0,1,19.27777778,2
1,7,1,0,19.76251486,,23.31888401,1.463020919,0,0,6.330104156,0,1,19.61111111,2
1,8,1,0,19.87039525,,23.41691342,0.400215493,1.2835635,0,5.853687401,0,1,19.72222222,2
1,9,1,0,19.91772797,,23.22241766,0.410130725,0,0,6.293165048,0,1,19.77777778,2
1,10,1,0,19.90390635,,23.18718851,0.218100741,0,0,6.116055213,0,0,19.77777778,2
1,11,1,0,19.89146193,,23.14931764,0.217106591,0,0,5.827913241,0,0,19.77777778,2
1,12,1,0,19.87799725,,23.06545207,0.217106591,0,0,5.795382662,0,0,19.77777778,2
1,13,1,0,19.86716252,,23.07585335,0.219094892,0.476642278,0,5.481266286,0,0,19.77777778,2
1,14,1,0,19.85753503,,23.1970532,0.417820214,0,0,5.014213002,0,1,19.77777778,2
1,15,1,0,19.84987576,,23.31707237,0.413575352,0,0,4.840466492,0,1,19.77777778,2
1,16,1,0,19.89588869,,23.45344565,0.4362592,0,0,5.382901739,0,1,19.83333333,2
1,17,1,0,20.00462944,,23.31346921,0.506521133,0,0,5.361168103,0,1,19.94444444,2
1,18,1,0,20.11278205,,23.19777913,0.542714852,0,0,5.717362178,0,1,20.05555556,2
1,19,1,0,20.21746522,,23.08606752,0.575037768,0.476642278,0,5.851113672,0,1,20.16666667,2
1,20,1,0,20.21805937,,23.181078,0.544522325,2.38321139,0,5.852873969,0,1,20.16666667,2
1,21,1,0,20.04810663,,23.50271055,0.492674263,0,0,5.901524929,0,1,20,2
1,22,1,0,19.71180524,,23.97547802,0.449132236,0,0,5.708603001,0,1,19.66666667,2
1,23,1,0,19.29989407,,24.5538688,0.401192342,0,0,5.567189872,0,1,19.27777778,2
1,24,1,0,19.06492928,,24.69972546,0.218100741,0,0,6.465165305,0,1,19.05555556,2
1,1,2,0,18.95055524,,24.81039303,0.247109932,0,0,6.045223879,0,1,18.94444444,2
