Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
1,1,1,0,19.90823424,,21.93812713,0.295066427,0,0,6.937737523,0,1,18.94444444,2
1,2,1,0,19.83429049,,22.0501241,0.293339789,0,0,7.253202137,0,1,18.94444444,2
1,3,1,0,19.79240691,,22.07308681,0.291613151,0,0,7.532038937,0,1,18.94444444,2
1,4,1,0,19.75251505,,22.05968041,0.289886514,0,0,7.714204295,0,1,18.94444444,2
1,5,1,0,19.82946792,,21.89122794,0.288159876,0,0,7.992565423,0,1,19.05555556,2
1,6,1,0,20.02866688,,21.57789779,0.398290043,0,0,8.320379974,0,1,19.27777778,2
1,7,1,0,20.33295375,,21.15996036,0.516463025,0,0,8.837770794,0,1,19.61111111,2
1,8,1,0,20.43519333,,20.97887838,0.598858111,0,0,8.885331511,0,1,19.72222222,2
1,9,1,0,20.46283463,,20.90098695,0.296793064,0,0,9.261711324,0,0,19.77777778,2
1,10,1,0,20.44114597,,20.92972582,0.326796405,0.977769946,0,8.256126645,0,0,19.77777778,2
1,11,1,0,20.41352555,,20.95563331,0.295066427,0,0,7.674687847,0,0,19.77777778,2
1,12,1,0,20.39081395,,20.99395331,0.295066427,0,0,7.532968464,0,0,19.77777778,2
1,13,1,0,20.36630138,,21.06591237,0.298519702,0,0,6.902790068,0,0,19.77777778,2
1,14,1,0,20.34695732,,21.15734174,0.298519702,0,0,6.438301356,0,0,19.77777778,2
1,15,1,0,20.33341166,,21.24616558,0.298519702,0,0,6.350519199,0,0,19.77777778,2
1,16,1,0,20.37180199,,21.3250312,0.296793064,0,0,6.523267771,0,0,19.83333333,2
1,17,1,0,20.46846679,,21.23782078,0.737301599,0,0,7.453292936,0,1,19.94444444,2
1,18,1,0,20.57578595,,21.13530504,0.892073105,0,0,7.333442809,0,1,20.05555556,2
1,19,1,0,20.67394453,,21.04750601,0.930338732,0,0,7.546821389,0,1,20.16666667,2
1,20,1,0,20.66874443,,21.12722624,0.880227563,0.977769921,0,7.576375626,0,1,20.16666667,2
1,21,1,0,20.49053706,,21.44233924,0.775963804,0,0,7.461819138,0,1,20,2
1,22,1,0,20.1488065,,21.90590674,0.685419013,0,0,7.125810453,0,1,19.66666667,2
1,23,1,0,19.71653202,,22.50347394,0.301972977,0,0,6.992853842,0,1,19.27777778,2
1,24,1,0,19.47415343,,22.79677561,0.296793064,0,0,7.258303504,0,1,19.05555556,2
1,1,2,0,19.35329505,,22.92608171,0.295066427,0,0,7.562518679,0,1,18.94444444,2
1,2,2,0,19.33334742,,22.88593595,0.293339789,0,0,7.799315464,0,1,18.94444444,2
1,3,2,0,19.32782463,,22.82717123,0.291613151,0,0,7.895896003,0,1,18.94444444,2
1,4,2,0,19.32863249,,22.76333522,0.289886514,0,0,7.877892005,0,1,18.94444444,2
1,5,2,0,19.43643318,,22.53126593,0.351490406,0,0,8.088053615,0,1,19.05555556,2
1,6,2,0,19.65462893,,22.18225944,0.398290043,0,0,8.518407417,0,1,19.27777778,2
1,7,2,0,20.00017885,,21.56906368,0.516463025,0,0,9.121867639,0,1,19.61111111,2
1,8,2,0,20.12205649,,21.20052741,0.295066427,0,0,9.335243838,0,0,19.72222222,2
1,9,2,0,20.17367629,,20.9153513,0.296793064,0.979748882,0,9.620220267,0,0,19.77777778,2
1,10,2,0,20.16827386,,20.92702697,0.326796405,1.959498034,0,7.974624346,0,0,19.77777778,2
1,11,2,0,20.1617643,,20.94691655,0.295066427,0,0,7.060519512,0,0,19.77777778,2
1,12,2,0,20.15717427,,20.99361651,0.295066427,0,0,6.194429325,0,0,19.77777778,2
1,13,2,0,20.14903149,,21.05667247,0.298519702,0,0,5.606103815,0,0,19.77777778,2
1,14,2,0,20.14675422,,21.10891633,0.298519702,0,0,5.300134965,0,0,19.77777778,2
1,15,2,0,20.14125941,,21.21389647,0.298519702,0,0,5.178865818,0,0,19.77777778,2
1,16,2,0,20.18879961,,21.2084688,0.296793064,0,0,5.517914872,0,0,19.83333333,2
1,17,2,0,20.29738799,,21.13740942,0.301972977,0,0,6.693459736,0,0,19.94444444,2
1,18,2,0,20.40870828,,21.12983737,0.892073105,0,0,6.464727513,0,1,20.05555556,2
1,19,2,0,20.51169161,,21.04647151,0.930338732,0,0,6.721231991,0,1,20.16666667,2
1,20,2,0,20.51592758,,21.24683592,0.880227563,1.971857885,0,5.284850666,0,1,20.16666667,2
1,21,2,0,20.34475891,,21.80070532,4.656556016,0.151981737,0,6.097526523,0,1,20,2
1,22,2,0,20.0156137,,22.27444026,0.685419013,0,0,5.668959199,0,1,19.66666667,2
1,23,2,0,19.58943607,,23.07333227,0.301972977,0,0,5.429447562,0,1,19.27777778,2
1,24,2,0,19.35022616,,23.67782167,0.296793064,1.469623646,0,5.427485005,0,1,19.05555556,2
1,1,3,0,19.22941867,,24.10105465,0.295066427,0.98169458,0,5.527696875,0,1,18.94444444,2
1,2,3,0,19.22951404,,24.31025384,0.293339789,0,0,5.802319608,0,1,18.94444444,2
1,3,3,0,19.231301,,24.49372193,0.291613151,0,0,5.942737633,0,1,18.94444444,2
1,4,3,0,19.2288184,,24.70506271,0.289886514,0,0,6.054804554,0,1,18.94444444,2
1,5,3,0,19.34167824,,24.70517731,0.288159876,0,0,6.304598837,0,1,19.05555556,2
1,6,3,0,19.56672124,,24.51085003,0.288159876,0,0,6.658449041,0,1,19.27777778,2
1,7,3,0,19.89410697,,24.05511742,0.291613151,0,0,7.044332476,0,1,19.61111111,2
1,8,3,0,20.02515066,,23.90584285,0.295066427,0,0,7.007404485,0,0,19.72222222,2
1,9,3,0,20.07660851,,23.90273548,0.296793064,0,0,6.821486985,0,0,19.77777778,2
1,10,3,0,20.08670836,,23.94830633,0.326796405,0,0,5.288059744,0,0,19.77777778,2
1,11,3,0,20.07322047,,24.02689441,0.295066427,0,0,4.88623074,0,0,19.77777778,2
1,12,3,0,20.0705058,,24.0958663,0.295066427,0,0,4.619369842,0,0,19.77777778,2
1,13,3,0,20.06451034,,24.16519397,0.298519702,0,0,4.583244349,0,0,19.77777778,2
