Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
1,1,1,0,21.54964449,,22.67310051,0.515986928,0,0,4.85044615,0,2,21.05555556,2
1,2,1,0,21.53294035,,22.64762422,0.495826497,0,0,5.04840858,0,2,21.05555556,2
1,3,1,0,21.48187548,,22.40926592,0.42886326,0,0,5.364073284,0,2,21.11111111,2
1,4,1,0,21.43628095,,22.10228703,0.42786911,0,0,5.545507607,0,2,21.11111111,2
1,5,1,0,21.39231763,,21.85556895,0.42687496,0.961675134,0,5.560715644,0,2,21.11111111,2
1,6,1,0,21.46703902,,21.51044707,0.42687496,0,0,5.732270988,0,2,21.22222222,2
1,7,1,0,21.65815905,,21.60686184,0.546254082,4.404789427,0,5.308046553,0,2,21.44444444,2
1,8,1,0,21.70112888,,22.19572733,0.997856646,0,0,5.605209476,0,2,21.5,2
1,9,1,0,21.56552036,,23.08474239,0.814526822,3.291646143,0,5.187402608,0,1,21.38888889,2
1,10,1,0,21.42593993,,22.89021438,0.603213069,0,0,6.214995636,0,1,21.27777778,2
1,11,1,0,21.46463784,,22.69096408,0.631349316,0,0,5.761812485,0,1,21.33333333,2
1,12,1,0,21.4462062,,22.93672533,0.60776418,4.847764003,0,4.412250912,0,1,21.33333333,2
1,13,1,0,21.43594944,,23.84927893,0.616363069,5.147239585,0,4.080674926,0,1,21.33333333,2
1,14,1,0,21.42471476,,23.66473733,0.432839862,0.961674975,0,5.437819345,0,0,21.33333333,2
1,15,1,0,21.41546065,,23.41796379,0.609923689,0,0,5.187447564,0,1,21.33333333,2
1,16,1,0,21.40751913,,23.48503418,0.628948656,0,0,5.114720005,0,1,21.33333333,2
1,17,1,0,21.51265456,,23.22789693,0.658207792,0,0,5.349715115,0,1,21.44444444,2
1,18,1,0,21.61920083,,22.9955679,0.709122314,14.24623034,0,4.044195699,0,1,21.55555556,2
1,19,1,0,21.66771711,,22.85747615,0.729646065,0,0,5.579177057,0,1,21.61111111,2
1,20,1,0,21.66616492,,23.4804334,1.389839636,1.910479121,0,5.043443553,0,1,21.61111111,2
1,21,1,0,21.66165539,,23.87187307,1.399833872,0,0,5.368236509,0,2,21.61111111,2
1,22,1,0,21.60050523,,23.9015829,0.633308569,0,0,5.751799121,0,2,21.55555556,2
1,23,1,0,21.4248972,,23.92075851,0.587221164,0,0,5.789378003,0,2,21.38888889,2
1,24,1,0,21.19448572,,24.0722813,0.576854857,0,0,5.854946411,0,2,21.16666667,2
1,1,2,0,21.08131756,,23.95058658,0.430851561,0,0,6.116549431,0,2,21.05555556,2
1,2,2,0,21.07262255,,23.50150701,0.429857411,0,0,6.163097866,0,2,21.05555556,2
1,3,2,0,21.1242049,,22.95746725,0.42886326,0,0,6.207477327,0,2,21.11111111,2
1,4,2,0,21.12636684,,22.54966771,0.42786911,0,0,6.098736122,0,2,21.11111111,2
1,5,2,0,21.12634933,,22.4528233,0.483437287,0,0,6.053277975,0,2,21.11111111,2
1,6,2,0,21.23708654,,22.46614608,0.709590647,0,0,5.79802515,0,2,21.22222222,2
1,7,2,0,21.46220732,,22.12035026,0.546254082,0,0,7.023878708,0,2,21.44444444,2
1,8,2,0,21.52225225,,21.64013518,0.623709042,0,0,6.606648947,0,2,21.5,2
1,9,2,0,21.41308478,,21.26953526,0.603233359,0,0,6.351397219,0,2,21.38888889,2
1,10,2,0,21.29638597,,21.31234873,0.603213069,0.963614932,0,6.236435368,0,1,21.27777778,2
1,11,2,0,21.34813373,,21.26794492,0.631349316,0,0,5.205156953,0,1,21.33333333,2
1,12,2,0,21.34636222,,21.40501036,0.60776418,0,0,4.742012309,0,1,21.33333333,2
1,13,2,0,21.34576789,,21.54355088,0.616363069,0,0,4.448183191,0,1,21.33333333,2
1,14,2,0,21.34437068,,21.68282998,0.616436964,0,0,4.309906812,0,1,21.33333333,2
1,15,2,0,21.34331943,,22.10112935,0.666268612,0,0,4.175945167,0,1,21.33333333,2
1,16,2,0,21.34245608,,22.19250847,0.628948656,0,0,4.364932061,0,1,21.33333333,2
1,17,2,0,21.45388578,,22.51461395,0.881587421,2.896218404,0,3.785296321,0,2,21.44444444,2
1,18,2,0,21.56530866,,22.93338845,1.220916035,0.472578736,0,4.844919208,0,1,21.55555556,2
1,19,2,0,21.61993497,,22.83250089,1.002602716,0.96362167,0,4.973449439,0,1,21.61111111,2
1,20,2,0,21.62317679,,23.41931949,0.912165497,0,0,4.609435254,0,1,21.61111111,2
1,21,2,0,21.62325918,,23.8911924,0.888040152,0,0,4.708721714,0,2,21.61111111,2
1,22,2,0,21.566054,,24.30948751,0.633308569,0.963621286,0,4.615445006,0,2,21.55555556,2
1,23,2,0,21.39629918,,24.79783926,0.587221164,0,0,4.595428425,0,2,21.38888889,2
1,24,2,0,21.16800742,,25.28061866,0.431845711,0,0,4.691223729,0,1,21.16666667,2
1,1,3,0,21.04961568,,25.54216639,0.430851561,0,0,4.683438101,0,1,21.05555556,2
1,2,3,0,21.04645257,,25.60542412,0.429857411,0,0,4.803422244,0,1,21.05555556,2
1,3,3,0,21.10230591,,25.57369687,0.42886326,0,0,4.918368473,0,1,21.11111111,2
1,4,3,0,21.10521522,,25.72370001,0.42786911,0,0,4.918379583,0,2,21.11111111,2
1,5,3,0,21.10670792,,25.86836539,0.42687496,0,0,4.908556428,0,2,21.11111111,2
1,6,3,0,21.21908696,,25.80499202,0.42687496,0,0,4.966665693,0,2,21.22222222,2
1,7,3,0,21.44547982,,26.1147674,0.546254082,4.863236264,0,4.177858192,0,2,21.44444444,2
1,8,3,0,21.50726006,,26.9386864,0.786563183,4.175663836,0,3.700567607,0,2,21.5,2
1,9,3,0,21.39728579,,27.01330249,0.603233359,0,0,4.563260424,0,2,21.38888889,2
1,10,3,0,21.28426448,,27.71410825,0.603213069,4.735652555,0,3.39368715,0,1,21.27777778,2
1,11,3,0,21.33713979,,28.06774898,0.631349316,0,0,4.116452252,0,1,21.33333333,2
1,12,3,0,21.33589708,,27.98921335,0.60776418,0,0,4.026362739,0,1,21.33333333,2
1,13,3,0,21.33675663,,27.96024624,0.616363069,0,0,3.974103741,0,1,21.33333333,2
1,14,3,0,21.33614929,,28.01538571,0.616436964,0,0,3.969260469,0,1,21.33333333,2
1,15,3,0,21.33580395,,28.168106,0.609923689,1.931057611,0,3.990317319,0,1,21.33333333,2
1,16,3,0,21.33561862,,28.14860039,0.431845711,0.965535273,0,4.339156926,0,0,21.33333333,2
1,17,3,0,21.44832642,,28.2814912,6.090745842,2.114999487,0,4.333603638,0,1,21.44444444,2
1,18,3,0,21.55927053,,28.73244542,8.117128747,2.279933095,0,4.657640522,0,1,21.55555556,2
1,19,3,0,21.61687558,,28.43598743,1.018499067,1.003788473,0,4.798043309,0,2,21.61111111,2
1,20,3,0,21.61676996,,28.30514986,0.962939304,0.96553065,0,4.848277021,0,2,21.61111111,2
1,21,3,0,21.61754847,,28.13290826,0.888040152,0,0,4.914596826,0,2,21.61111111,2
1,22,3,0,21.56154058,,28.01696141,0.829800675,0,0,4.927446444,0,2,21.55555556,2
1,23,3,0,21.39201037,,28.06868378,0.434828162,0.965514272,0,4.941970916,0,2,21.38888889,2
1,24,3,0,21.16948467,,28.33447853,0.431845711,0,0,4.884046133,0,2,21.16666667,2
1,1,4,0,21.04184718,,28.18391123,0.430851561,0,0,4.909873794,0,2,21.05555556,2
1,2,4,0,21.0420041,,27.99839646,0.429857411,0,0,5.184882062,0,2,21.05555556,2
1,3,4,0,21.09952836,,27.34876005,0.42886326,0,0,5.526005043,0,2,21.11111111,2
1,4,4,0,21.10192004,,26.70472266,0.42786911,0,0,5.761669313,0,2,21.11111111,2
1,5,4,0,21.10501819,,25.94170695,0.42687496,0,0,6.101114012,0,2,21.11111111,2
1,6,4,0,21.2190417,,24.85027857,0.42687496,0,0,6.5702132,0,2,21.22222222,2
1,7,4,0,21.44071865,,24.55244862,0.546254082,4.368316839,0,6.229282541,0,2,21.44444444,2
1,8,4,0,21.50493976,,23.97761331,0.623709042,0,0,6.907884218,0,1,21.5,2
1,9,4,0,21.39890169,,23.24512083,0.603233359,0,0,6.67340523,0,1,21.38888889,2
1,10,4,0,21.28251664,,23.04292596,0.603213069,0.967408625,0,6.693470306,0,1,21.27777778,2
1,11,4,0,21.33532972,,22.71177623,0.631349316,0.967408233,0,5.861113986,0,1,21.33333333,2
1,12,4,0,21.33393813,,22.15173229,0.60776418,0,0,5.72516138,0,1,21.33333333,2
1,13,4,0,21.33471239,,21.95906465,0.432839862,0.967407162,0,5.663084639,0,0,21.33333333,2
1,14,4,0,21.33431515,,21.80438405,0.432839862,0,0,5.720598777,0,0,21.33333333,2
1,15,4,0,21.33465678,,21.59090448,0.609923689,0,0,5.623674316,0,1,21.33333333,2
1,16,4,0,21.33464864,,21.48419738,0.628948656,0,0,5.665246695,0,1,21.33333333,2
1,17,4,0,21.44779504,,21.18032374,0.658207792,0,0,5.917657133,0,1,21.44444444,2
1,18,4,0,21.55944228,,20.8811899,0.709122314,0.967405065,0,6.105988102,0,1,21.55555556,2
1,19,4,0,21.61800908,,20.62504201,0.729646065,0,0,6.258295179,0,1,21.61111111,2
1,20,4,0,21.61691219,,20.44244587,0.700872034,0,0,6.331610112,0,1,21.61111111,2
1,21,4,0,21.61848596,,19.98296502,0.662925382,0,0,6.43420853,0,1,21.61111111,2
1,22,4,0,21.56112851,,19.65737267,0.829800675,0,0,6.315943313,0,2,21.55555556,2
1,23,4,0,21.39129063,,19.46446902,0.434828162,0.967415102,0,6.475424763,0,1,21.38888889,2
1,24,4,0,21.16246331,,19.30637134,0.534596165,0,0,6.451108219,0,2,21.16666667,2
1,1,5,0,21.04376006,,18.97450163,0.430851561,0,0,6.693526355,0,2,21.05555556,2
1,2,5,0,21.0413958,,18.46170976,0.429857411,0,0,7.009264895,0,2,21.05555556,2
1,3,5,0,21.10018179,,18.15452478,0.42886326,0,0,7.479992627,0,2,21.11111111,2
1,4,5,0,21.10247829,,17.78987187,0.42786911,0,0,7.961177168,0,2,21.11111111,2
1,5,5,0,21.10538416,,17.4129575,0.42687496,0,0,8.351522747,0,2,21.11111111,2
1,6,5,0,21.21975334,,16.46250748,0.42687496,0,0,8.676129534,0,2,21.22222222,2
1,7,5,0,21.44231633,,15.36643691,0.42886326,0,0,9.558791109,0,2,21.44444444,2
1,8,5,0,21.50956143,,14.6186605,0.460854902,0,0,8.934591187,0,2,21.5,2
1,9,5,0,21.40093681,,14.67828484,0.603233359,0,0,8.443769148,0,2,21.38888889,2
1,10,5,0,21.28772128,,15.08270512,0.814506532,0,0,8.169825496,0,1,21.27777778,2
1,11,5,0,21.3399572,,15.34131052,0.842642779,0,0,7.270445183,0,1,21.33333333,2
1,12,5,0,21.33810455,,15.11130049,0.784676798,0.969254698,0,7.258690418,0,2,21.33333333,2
1,13,5,0,21.33785661,,14.8750941,0.616363069,0,0,7.343314,0,1,21.33333333,2
1,14,5,0,21.33702411,,14.69697786,0.616436964,0,0,7.457933291,0,1,21.33333333,2
1,15,5,0,21.33635495,,14.40342553,0.609923689,0,0,7.570976397,0,1,21.33333333,2
1,16,5,0,21.33595448,,14.21632279,0.431845711,0,0,7.89752068,0,1,21.33333333,2
1,17,5,0,21.44817544,,14.40287993,0.646121626,0.969257603,0,8.464750707,0,1,21.44444444,2
1,18,5,0,21.56005101,,14.14259928,0.979439865,0,0,9.450825138,0,2,21.55555556,2
1,19,5,0,21.61732926,,13.66898802,1.018499067,0,0,9.982658157,0,2,21.61111111,2
1,20,5,0,21.6176163,,13.25721262,0.962939304,0,0,10.3416339,0,2,21.61111111,2
1,21,5,0,21.61669295,,13.44982318,0.888040152,6.124257266,0,9.097069978,0,2,21.61111111,2
1,22,5,0,21.55921315,,13.09106515,0.829800675,0,0,10.51818094,0,2,21.55555556,2
1,23,5,0,21.38853996,,12.47632955,0.739614166,0,0,10.3161081,0,2,21.38888889,2
1,24,5,0,21.16220148,,11.84466469,0.431845711,0,0,10.2820551,0,1,21.16666667,2
1,1,6,0,21.04330721,,11.81851251,0.430851561,0,0,10.32070623,0,2,21.05555556,2
1,2,6,0,21.03175413,,11.21197112,0.429857411,0,0,10.81084162,0,2,21.05555556,2
1,3,6,0,21.09303126,,10.91618435,0.42886326,0,0,11.4662929,0,2,21.11111111,2
1,4,6,0,21.09628593,,10.68638125,0.42786911,0,0,11.62984566,0,2,21.11111111,2
1,5,6,0,21.09995262,,10.31076579,0.42687496,0,0,11.42968607,0,2,21.11111111,2
1,6,6,0,21.21516033,,10.11463,0.42687496,0,0,11.28670665,0,2,21.22222222,2
1,7,6,0,21.44639773,,9.816088747,0.42886326,0,0,11.94616517,0,2,20.33333333,2
1,8,6,0,21.5034449,,10.10707799,0.835002506,0,0,10.49339735,0,2,20.38888889,2
1,9,6,0,21.39384449,,10.62542955,0.603233359,5.194024882,0,8.9484901,0,2,20.27777778,2
1,10,6,0,21.280444,,10.5466049,0.603213069,0,0,10.27273606,0,1,21.27777778,2
1,11,6,0,21.33492166,,11.01557564,0.800384087,0.971069701,0,8.620960677,0,1,21.33333333,2
1,12,6,0,21.33430033,,11.59513095,0.784676798,0,0,8.062558282,0,2,21.33333333,2
1,13,6,0,21.33486804,,11.76085637,0.799886277,0,0,7.436496643,0,2,21.33333333,2
1,14,6,0,21.33394894,,12.0743917,0.616436964,1.942145057,0,6.9414067,0,2,21.33333333,2
1,15,6,0,21.33417599,,12.73058584,0.609923689,0.971064181,0,6.572479244,0,2,21.33333333,2
1,16,6,0,21.33371992,,13.53951657,0.947474491,5.826435198,0,6.205150466,0,2,21.33333333,2
1,17,6,0,21.44671795,,13.86124454,6.090745842,3.979812491,0,7.04891165,0,1,21.44444444,2
1,18,6,0,21.55783473,,14.80991989,8.59873976,0,0,6.944307309,0,2,21.55555556,2
1,19,6,0,21.61447767,,14.60217275,1.018499067,0,0,7.416328218,0,2,21.61111111,2
1,20,6,0,21.61460703,,14.55498073,0.962939304,0.971068901,0,7.61547177,0,2,21.61111111,2
1,21,6,0,21.61473741,,14.54598958,0.888040152,0,0,7.545405301,0,2,21.61111111,2
1,22,6,0,21.55867765,,14.58389811,0.829800675,0,0,7.40854237,0,2,21.55555556,2
1,23,6,0,21.39016312,,14.71863606,0.434828162,0,0,7.549455636,0,2,21.38888889,2
1,24,6,0,21.15994135,,14.94677811,0.431845711,0,0,7.320376743,0,2,21.16666667,2
1,1,7,0,21.03961442,,15.15056732,0.430851561,0,0,7.127267105,0,2,21.05555556,2
1,2,7,0,21.03570859,,15.31044652,0.429857411,0,0,7.444965723,0,2,21.05555556,2
1,3,7,0,21.09378142,,15.43637813,0.42886326,0,0,7.777832085,0,2,21.11111111,2
1,4,7,0,21.09844892,,15.4140785,0.42786911,0,0,7.958896641,0,2,21.11111111,2
1,5,7,0,21.1024899,,15.37598016,0.42687496,0,0,7.981486122,0,2,21.11111111,2
1,6,7,0,21.21779234,,15.76734421,0.638168423,0,0,7.826230195,0,2,21.22222222,2
1,7,7,0,21.44527787,,15.8505641,1.058047803,0.932846692,0,8.916110343,0,2,21.44444444,2
1,8,7,0,21.50197373,,15.60602772,0.623709042,1.855588718,0,8.068178297,0,2,21.5,2
1,9,7,0,21.39336473,,16.37882425,0.603233359,8.254128839,0,5.977263992,0,2,21.38888889,2
1,10,7,0,21.27836927,,16.50393435,6.207118477,1.269070707,0,8.188522736,0,2,21.27777778,2
1,11,7,0,21.33306485,,16.64876289,5.24664759,1.175273084,0,6.113046773,0,2,21.33333333,2
1,12,7,0,21.33150647,,16.56029003,0.60776418,2.314409675,0,5.675222656,0,1,21.33333333,2
1,13,7,0,21.33259673,,16.50502771,0.616363069,0,0,5.323168114,0,1,21.33333333,2
1,14,7,0,21.3325751,,16.50776986,0.616436964,3.04884804,0,5.223576195,0,1,21.33333333,2
1,15,7,0,21.33246907,,16.58095703,0.609923689,1.378087183,0,5.262769837,0,1,21.33333333,2
1,16,7,0,21.33255635,,16.58227773,0.8260516,1.065435511,0,5.332770556,0,2,21.33333333,2
1,17,7,0,21.44468396,,16.39631849,0.658207792,2.918509015,0,5.881274191,0,1,21.44444444,2
1,18,7,0,21.55658597,,16.04519499,0.438804764,0,0,6.71010763,0,0,21.55555556,2
1,19,7,0,21.61371628,,15.86154455,0.729646065,0.972846857,0,6.904186258,0,1,21.61111111,2
1,20,7,0,21.61427938,,15.73965697,0.700872034,0,0,7.102067604,0,1,21.61111111,2
