datetime,time_step,Electricity Pricing [$/kWh],1h Prediction Electricity Pricing [$],2h Prediction Electricity Pricing [$],3h Prediction Electricity Pricing [$],DR_Event_Timestep,DR_Event_Start,DR_Event,DR_Day
2022-01-03 17:00,65,0.53526,0.53526,0.53526,0.04582,1,0,2,1
2022-01-03 18:00,66,0.53526,0.53526,0.04582,0.04582,1,0,2,1
2022-01-03 19:00,67,0.53526,0.04582,0.04582,0.04582,1,0,2,1
2022-01-03 20:00,68,0.04582,0.04582,0.04582,0.04582,0,0,0,1
2022-01-03 21:00,69,0.04582,0.04582,0.04582,0.04582,0,0,0,1
2022-01-03 22:00,70,0.04582,0.04582,0.04582,0.04582,0,0,0,1
2022-01-03 23:00,71,0.04582,0.04582,0.04582,0.04582,0,0,0,1
2022-01-04 0:00,72,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 1:00,73,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 2:00,74,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 3:00,75,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 4:00,76,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 5:00,77,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 6:00,78,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 7:00,79,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 8:00,80,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 9:00,81,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 10:00,82,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 11:00,83,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 12:00,84,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 13:00,85,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 14:00,86,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 15:00,87,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 16:00,88,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 17:00,89,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 18:00,90,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 19:00,91,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 20:00,92,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 21:00,93,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 22:00,94,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-04 23:00,95,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 0:00,96,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 1:00,97,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 2:00,98,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 3:00,99,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 4:00,100,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 5:00,101,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 6:00,102,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 7:00,103,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 8:00,104,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 9:00,105,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 10:00,106,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 11:00,107,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 12:00,108,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 13:00,109,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 14:00,110,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 15:00,111,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 16:00,112,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 17:00,113,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 18:00,114,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 19:00,115,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 20:00,116,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 21:00,117,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 22:00,118,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-05 23:00,119,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 0:00,120,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 1:00,121,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 2:00,122,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 3:00,123,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 4:00,124,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 5:00,125,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 6:00,126,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 7:00,127,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 8:00,128,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 9:00,129,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 10:00,130,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 11:00,131,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 12:00,132,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 13:00,133,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 14:00,134,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 15:00,135,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 16:00,136,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 17:00,137,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 18:00,138,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 19:00,139,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 20:00,140,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 21:00,141,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 22:00,142,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-06 23:00,143,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 0:00,144,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 1:00,145,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 2:00,146,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 3:00,147,0.04582,0.04582,0.04582,0.04582,0,0,0,0
