location,resstock_building_id,ecobee_building_id,simulation_reference,timestep,year,month,day,day_of_week,hour,minute,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load,setpoint
"VT, Chittenden County",460412,,4,1,2020,1,1,3,1,0,0.0,0.0,-2.14,25.68416908659704,2.0,0.0,19677.431838496348,25.72585394569232
"VT, Chittenden County",460412,,4,2,2020,1,1,3,2,0,0.0,0.0,-2.92,21.585085269626305,2.0,641.2566902953097,9444.823753297243,21.52787804731278
"VT, Chittenden County",460412,,4,3,2020,1,1,3,3,0,0.0,0.0,-3.7,25.70898407040474,2.0,0.0,15773.984098774277,25.83795471075994
"VT, Chittenden County",460412,,4,4,2020,1,1,3,4,0,0.0,0.0,-3.99,23.26002366429451,2.0,0.0,11052.058899317752,23.25927104785475
"VT, Chittenden County",460412,,4,5,2020,1,1,3,5,0,0.0,0.0,-3.62,23.089510007296067,2.0,0.0,10685.332346895251,23.088399357083812
"VT, Chittenden County",460412,,4,6,2020,1,1,3,6,0,0.0,0.0,-3.4,18.555863515995185,2.0,784.9238249983256,2634.3568549711636,18.38311717802599
"VT, Chittenden County",460412,,4,7,2020,1,1,3,7,0,0.0,0.0,-4.01,21.43098932872766,1.0,161.6900320842991,8786.535567658495,21.444444444444443
"VT, Chittenden County",460412,,4,8,2020,1,1,3,8,0,0.0,0.0,-4.31,16.792799572271264,1.0,735.5471922988668,976.048675028016,16.562302552045903
"VT, Chittenden County",460412,,4,9,2020,1,1,3,9,0,73.45,46.66,-3.61,21.309697884192808,1.0,0.0,11176.545517660892,21.38888888888889
"VT, Chittenden County",460412,,4,10,2020,1,1,3,10,0,102.02,43.75,-2.92,20.6269739942238,1.0,0.0,10883.269137346662,20.625693101822236
"VT, Chittenden County",460412,,4,11,2020,1,1,3,11,0,193.25,74.81,-2.23,21.311936987798653,1.0,0.0,11653.487330714555,21.333333333333336
"VT, Chittenden County",460412,,4,12,2020,1,1,3,12,0,62.94,59.0,-1.4,18.336838712564262,1.0,604.953846518843,5581.607330607255,18.310184079335873
"VT, Chittenden County",460412,,4,13,2020,1,1,3,13,0,185.38,92.25,-0.63,24.651057663468485,1.0,0.0,15842.283077278666,24.96326568932557
"VT, Chittenden County",460412,,4,14,2020,1,1,3,14,0,190.49,92.15,-0.08,21.371240725568274,1.0,411.6030265615527,11097.353118489607,21.333333333333332
"VT, Chittenden County",460412,,4,15,2020,1,1,3,15,0,86.21,41.36,0.02,18.06878194225048,1.0,573.0711365746453,4764.487207471438,17.971755747380314
"VT, Chittenden County",460412,,4,16,2020,1,1,3,16,0,69.43,38.15,-0.56,22.21844331814971,1.0,0.0,11462.104917196151,22.306672772661933
"VT, Chittenden County",460412,,4,17,2020,1,1,3,17,0,0.0,0.0,-1.69,16.8140428887972,1.0,879.7121907066684,312.8300031095327,16.534305421119996
"VT, Chittenden County",460412,,4,18,2020,1,1,3,18,0,0.0,0.0,-1.96,20.394921933684056,2.0,204.2777985469478,8559.252765169354,20.421268381991858
"VT, Chittenden County",460412,,4,19,2020,1,1,3,19,0,0.0,0.0,-1.57,17.152506693841698,2.0,532.7245895878522,2282.167457059019,17.052711690426108
"VT, Chittenden County",460412,,4,20,2020,1,1,3,20,0,0.0,0.0,-1.07,25.580636880781054,2.0,0.0,19497.420695864326,26.17764078825347
"VT, Chittenden County",460412,,4,21,2020,1,1,3,21,0,0.0,0.0,-1.06,21.047387927054775,2.0,415.1649360727348,12106.09711514768,20.972577579909103
"VT, Chittenden County",460412,,4,22,2020,1,1,3,22,0,0.0,0.0,-1.63,25.849007702412884,2.0,0.0,15163.905400467238,26.045328623371194
"VT, Chittenden County",460412,,4,23,2020,1,1,3,23,0,0.0,0.0,-2.83,24.27252037341767,2.0,0.0,17805.24685861703,24.251948748239496
"VT, Chittenden County",460412,,4,24,2020,1,1,3,24,0,0.0,0.0,-4.05,24.79453558527186,2.0,0.0,18884.4267873627,24.829559652483645
"VT, Chittenden County",460412,,4,25,2020,1,2,4,1,0,0.0,0.0,-4.15,21.07941559843096,2.0,633.1311914300875,10124.267838795848,21.055555555555557
"VT, Chittenden County",460412,,4,26,2020,1,2,4,2,0,0.0,0.0,-3.87,17.00417735585128,2.0,776.4281632492288,1784.392822499767,16.805041425686632
"VT, Chittenden County",460412,,4,27,2020,1,2,4,3,0,0.0,0.0,-3.36,21.993117593563433,2.0,0.0,13105.61835819831,22.118538324888807
"VT, Chittenden County",460412,,4,28,2020,1,2,4,4,0,0.0,0.0,-3.34,17.907273974774156,2.0,434.63584727686845,4280.862590550363,17.790832948295154
"VT, Chittenden County",460412,,4,29,2020,1,2,4,5,0,0.0,0.0,-4.02,23.251834853727523,2.0,0.0,14972.81056090144,23.444912786216804
"VT, Chittenden County",460412,,4,30,2020,1,2,4,6,0,0.0,0.0,-4.5,20.317975720777046,2.0,449.5578989056019,10903.644855439332,20.30666082374237
"VT, Chittenden County",460412,,4,31,2020,1,2,4,7,0,0.0,0.0,-5.03,21.428495931663054,2.0,0.0,10331.151425189084,21.444444444444443
"VT, Chittenden County",460412,,4,32,2020,1,2,4,8,0,0.0,0.0,-5.36,25.577437699150213,1.0,0.0,22427.63780640153,25.875715839509425
"VT, Chittenden County",460412,,4,33,2020,1,2,4,9,0,10.61,37.85,-4.96,21.664678495707737,0.0,300.2684870065945,14679.154312833536,21.60585011333847
"VT, Chittenden County",460412,,4,34,2020,1,2,4,10,0,93.14,55.36,-3.13,17.520124364359674,1.0,615.2523983761243,4745.525118862248,17.35971160665009
"VT, Chittenden County",460412,,4,35,2020,1,2,4,11,0,75.98,93.57,-0.84,17.91532614029395,1.0,0.0,1889.6912523982842,17.915567405181328
"VT, Chittenden County",460412,,4,36,2020,1,2,4,12,0,90.25,113.98,0.11,21.3011724151277,1.0,85.31507963784712,8087.773340643401,21.333333333333332
"VT, Chittenden County",460412,,4,37,2020,1,2,4,13,0,121.22,90.28,0.59,21.575292952616156,2.0,0.0,10596.868094247415,21.57737413401806
"VT, Chittenden County",460412,,4,38,2020,1,2,4,14,0,76.73,68.64,0.9,22.691773400735407,1.0,0.0,13362.501382754757,22.709435774593274
"VT, Chittenden County",460412,,4,39,2020,1,2,4,15,0,71.94,57.71,1.01,21.34601357762005,1.0,0.0,10744.08645091475,21.333333333333336
"VT, Chittenden County",460412,,4,40,2020,1,2,4,16,0,18.91,34.95,0.86,22.795336787808505,2.0,0.0,11572.728874576798,22.83138442352676
"VT, Chittenden County",460412,,4,41,2020,1,2,4,17,0,0.0,0.0,0.1,20.41837382157065,2.0,137.1317698169921,6510.3962653566605,20.41344447346177
"VT, Chittenden County",460412,,4,42,2020,1,2,4,18,0,0.0,0.0,-0.45,22.766824834905876,2.0,0.0,8925.88870943354,22.794716691037788
"VT, Chittenden County",460412,,4,43,2020,1,2,4,19,0,0.0,0.0,-0.31,21.630658993286694,2.0,0.0,8898.678193916225,21.611111111111114
"VT, Chittenden County",460412,,4,44,2020,1,2,4,20,0,0.0,0.0,0.04,18.492783720659588,2.0,600.9642556921056,3098.0299612967992,18.400850211522425
"VT, Chittenden County",460412,,4,45,2020,1,2,4,21,0,0.0,0.0,0.38,20.357124873593445,2.0,0.0,6029.4124197673555,20.366868796986537
"VT, Chittenden County",460412,,4,46,2020,1,2,4,22,0,0.0,0.0,0.83,21.55648705879263,2.0,0.0,8940.90273247772,21.580886148824906
"VT, Chittenden County",460412,,4,47,2020,1,2,4,23,0,0.0,0.0,1.09,21.39013147734866,2.0,0.0,7847.205624530689,21.388888888888886
"VT, Chittenden County",460412,,4,48,2020,1,2,4,24,0,0.0,0.0,1.25,21.178656267410638,2.0,0.0,8909.501868983814,21.166666666666664
"VT, Chittenden County",460412,,4,49,2020,1,3,5,1,0,0.0,0.0,1.15,21.0594991126507,2.0,0.0,9073.137970762426,21.055555555555557
"VT, Chittenden County",460412,,4,50,2020,1,3,5,2,0,0.0,0.0,1.29,22.265287967818256,2.0,0.0,11680.916062017666,22.304863996196534
"VT, Chittenden County",460412,,4,51,2020,1,3,5,3,0,0.0,0.0,1.23,24.95130937497866,2.0,0.0,20121.736028162966,25.066122771672575
"VT, Chittenden County",460412,,4,52,2020,1,3,5,4,0,0.0,0.0,1.12,19.876309621508728,2.0,483.816065622796,6691.318677422371,19.739646995442385
"VT, Chittenden County",460412,,4,53,2020,1,3,5,5,0,0.0,0.0,0.76,22.47386576141352,1.0,10.610561691470823,9817.430378478623,22.486681841298484
"VT, Chittenden County",460412,,4,54,2020,1,3,5,6,0,0.0,0.0,0.48,21.241572574219244,1.0,0.0,8309.292565768064,21.22222222222222
"VT, Chittenden County",460412,,4,55,2020,1,3,5,7,0,0.0,0.0,0.58,21.416660247622456,1.0,0.0,8186.177131098025,21.422385590617502
"VT, Chittenden County",460412,,4,56,2020,1,3,5,8,0,0.0,0.0,0.79,18.406014033195902,1.0,590.5683800715341,2890.763546354549,18.32445404571206
"VT, Chittenden County",460412,,4,57,2020,1,3,5,9,0,199.88,35.16,1.07,25.24068314323841,1.0,0.0,15382.615454570154,25.572719280286503
"VT, Chittenden County",460412,,4,58,2020,1,3,5,10,0,374.41,49.59,1.49,20.699616469652295,1.0,545.2959046901776,6440.337063804459,20.59599849119005
"VT, Chittenden County",460412,,4,59,2020,1,3,5,11,0,181.48,76.78,1.73,24.56150858845765,1.0,0.0,11237.73779004566,24.63521435431679
"VT, Chittenden County",460412,,4,60,2020,1,3,5,12,0,134.46,91.91,1.9,20.599650208165762,0.0,579.1522994553483,4469.712505448583,20.501096380116962
"VT, Chittenden County",460412,,4,61,2020,1,3,5,13,0,94.46,56.66,2.08,25.25033245815912,0.0,0.0,11774.175469537366,25.380009220766997
"VT, Chittenden County",460412,,4,62,2020,1,3,5,14,0,146.66,80.94,2.22,20.522570280271427,0.0,654.0828655083159,3259.0386117232365,20.381585506442395
"VT, Chittenden County",460412,,4,63,2020,1,3,5,15,0,121.88,26.16,2.17,21.330853365959044,0.0,0.0,5127.631426928059,21.33333333333334
"VT, Chittenden County",460412,,4,64,2020,1,3,5,16,0,80.51,27.96,1.74,22.032377453999818,2.0,0.0,6468.485615390393,22.054721036060823
"VT, Chittenden County",460412,,4,65,2020,1,3,5,17,0,0.0,0.0,1.26,24.84868992676816,2.0,0.0,13505.428271649149,24.898880935385577
"VT, Chittenden County",460412,,4,66,2020,1,3,5,18,0,0.0,0.0,0.94,25.16438954174392,2.0,0.0,16568.882375521374,25.165698673086286
"VT, Chittenden County",460412,,4,67,2020,1,3,5,19,0,0.0,0.0,0.59,22.57146724035138,0.0,0.0,10255.187350025779,22.56799228179446
