resstock_county_id,resstock_building_id,ecobee_building_id,simulation_reference,timestep,year,month,day,day_of_week,hour,minute,direct_solar_radiation,diffuse_solar_radiation,outdoor_air_temperature,average_indoor_air_temperature,occupant_count,cooling_load,heating_load,setpoint
"VT, Chittenden County",75252,,2,1,2020,1,1,1,1,0,0.0,0.0,-2.14,22.17445166017828,3.0,0.0,4.8955826097054045,21.055555555555557
"VT, Chittenden County",75252,,2,2,2020,1,1,1,2,0,0.0,0.0,-2.92,22.13397148757618,3.0,0.0,6.233929800082009,21.055555555555557
"VT, Chittenden County",75252,,2,3,2020,1,1,1,3,0,0.0,0.0,-3.7,22.035319541787437,3.0,0.0,6.008519545254767,21.11111111111111
"VT, Chittenden County",75252,,2,4,2020,1,1,1,4,0,0.0,0.0,-3.99,21.966336483075885,3.0,0.0,7.095890638656816,21.11111111111111
"VT, Chittenden County",75252,,2,5,2020,1,1,1,5,0,0.0,0.0,-3.62,21.894804387450833,3.0,0.0,7.201053119767367,21.11111111111111
"VT, Chittenden County",75252,,2,6,2020,1,1,1,6,0,0.0,0.0,-3.4,21.943193979560263,3.0,0.0,7.525191497255986,21.22222222222222
"VT, Chittenden County",75252,,2,7,2020,1,1,1,7,0,0.0,0.0,-4.01,22.11432527977373,3.0,0.0,7.840157394004669,21.444444444444443
"VT, Chittenden County",75252,,2,8,2020,1,1,1,8,0,0.0,0.0,-4.31,22.1366958736758,2.0,0.0,8.49460466984813,21.5
"VT, Chittenden County",75252,,2,9,2020,1,1,1,9,0,73.45,46.66,-3.61,21.977834370980204,2.0,0.0,7.007367551477604,21.38888888888889
"VT, Chittenden County",75252,,2,10,2020,1,1,1,10,0,102.02,43.75,-2.92,21.823041686661902,2.0,0.0,7.705009687674669,21.27777777777778
"VT, Chittenden County",75252,,2,11,2020,1,1,1,11,0,193.25,74.81,-2.23,21.84043845976795,3.0,0.0,7.605806846141007,21.333333333333336
"VT, Chittenden County",75252,,2,12,2020,1,1,1,12,0,62.94,59.0,-1.4,21.800377579131723,3.0,0.0,7.390966119376477,21.333333333333336
"VT, Chittenden County",75252,,2,13,2020,1,1,1,13,0,185.38,92.25,-0.63,21.769952135843162,3.0,0.0,6.997563960467312,21.333333333333336
"VT, Chittenden County",75252,,2,14,2020,1,1,1,14,0,190.49,92.15,-0.08,21.742336323713438,3.0,0.0,6.654285879665575,21.333333333333336
"VT, Chittenden County",75252,,2,15,2020,1,1,1,15,0,86.21,41.36,0.02,21.718134604554375,3.0,0.0,6.769025800920892,21.333333333333336
"VT, Chittenden County",75252,,2,16,2020,1,1,1,16,0,69.43,38.15,-0.56,21.6920523264931,3.0,0.0,6.83389654519732,21.333333333333336
"VT, Chittenden County",75252,,2,17,2020,1,1,1,17,0,0.0,0.0,-1.69,21.781226491591035,3.0,0.0,7.436879435975458,21.444444444444443
"VT, Chittenden County",75252,,2,18,2020,1,1,1,18,0,0.0,0.0,-1.96,21.87301348524019,3.0,0.0,7.762490374511257,21.555555555555557
"VT, Chittenden County",75252,,2,19,2020,1,1,1,19,0,0.0,0.0,-1.57,21.90939787105352,3.0,0.0,7.773583141301024,21.611111111111114
"VT, Chittenden County",75252,,2,20,2020,1,1,1,20,0,0.0,0.0,-1.07,21.896985131442364,3.0,0.0,7.775180546910727,21.611111111111114
"VT, Chittenden County",75252,,2,21,2020,1,1,1,21,0,0.0,0.0,-1.06,21.881402331579675,4.0,0.0,7.443057781524993,21.611111111111114
"VT, Chittenden County",75252,,2,22,2020,1,1,1,22,0,0.0,0.0,-1.63,21.808513314576942,4.0,0.0,7.927534346819019,21.555555555555557
"VT, Chittenden County",75252,,2,23,2020,1,1,1,23,0,0.0,0.0,-2.83,21.62359758932164,4.0,0.0,8.339217641468844,21.38888888888889
"VT, Chittenden County",75252,,2,24,2020,1,1,1,24,0,0.0,0.0,-4.05,21.381753677864076,4.0,0.0,7.949704201420279,21.166666666666664
"VT, Chittenden County",75252,,2,25,2020,1,2,2,1,0,0.0,0.0,-4.15,21.258528135325726,4.0,0.0,8.873915195453323,21.055555555555557
"VT, Chittenden County",75252,,2,26,2020,1,2,2,2,0,0.0,0.0,-3.87,21.234347273005405,4.0,0.0,8.200258590881022,21.055555555555557
"VT, Chittenden County",75252,,2,27,2020,1,2,2,3,0,0.0,0.0,-3.36,21.27459038249175,4.0,0.0,8.484459128366748,21.11111111111111
"VT, Chittenden County",75252,,2,28,2020,1,2,2,4,0,0.0,0.0,-3.34,21.26935777630787,4.0,0.0,8.511261744440745,21.11111111111111
"VT, Chittenden County",75252,,2,29,2020,1,2,2,5,0,0.0,0.0,-4.02,21.261087507537592,4.0,0.0,8.67858485334002,21.11111111111111
"VT, Chittenden County",75252,,2,30,2020,1,2,2,6,0,0.0,0.0,-4.5,21.360359490865605,4.0,0.0,8.196747343778348,21.22222222222222
"VT, Chittenden County",75252,,2,31,2020,1,2,2,7,0,0.0,0.0,-5.03,21.57868144840951,4.0,0.0,9.874286001735113,21.444444444444443
"VT, Chittenden County",75252,,2,32,2020,1,2,2,8,0,0.0,0.0,-5.36,21.64148943220514,4.0,0.0,8.980594646472658,21.5
"VT, Chittenden County",75252,,2,33,2020,1,2,2,9,0,10.61,37.85,-4.96,21.521703265073292,4.0,0.0,9.424941886723268,21.38888888888889
"VT, Chittenden County",75252,,2,34,2020,1,2,2,10,0,93.14,55.36,-3.13,21.40073111597364,4.0,0.0,7.645995092240609,21.27777777777778
"VT, Chittenden County",75252,,2,35,2020,1,2,2,11,0,75.98,93.57,-0.84,21.446758133227704,4.0,0.0,7.8360634590426255,21.333333333333336
"VT, Chittenden County",75252,,2,36,2020,1,2,2,12,0,90.25,113.98,0.11,21.43979191406289,3.0,0.0,7.447130761134111,21.333333333333336
"VT, Chittenden County",75252,,2,37,2020,1,2,2,13,0,121.22,90.28,0.59,21.43528261399763,3.0,0.0,5.409604803701278,21.333333333333336
"VT, Chittenden County",75252,,2,38,2020,1,2,2,14,0,76.73,68.64,0.9,21.429326615570865,4.0,0.0,6.912710445955891,21.333333333333336
"VT, Chittenden County",75252,,2,39,2020,1,2,2,15,0,71.94,57.71,1.01,21.423919112735398,3.0,0.0,6.969171543145796,21.333333333333336
"VT, Chittenden County",75252,,2,40,2020,1,2,2,16,0,18.91,34.95,0.86,21.418924494420267,3.0,0.0,6.581406429772378,21.333333333333336
"VT, Chittenden County",75252,,2,41,2020,1,2,2,17,0,0.0,0.0,0.1,21.52588934920261,3.0,0.0,7.396665279883055,21.444444444444443
"VT, Chittenden County",75252,,2,42,2020,1,2,2,18,0,0.0,0.0,-0.45,21.63422951919368,3.0,0.0,7.841321509496021,21.555555555555557
"VT, Chittenden County",75252,,2,43,2020,1,2,2,19,0,0.0,0.0,-0.31,21.684739392599035,3.0,0.0,7.9118304645412465,21.611111111111114
"VT, Chittenden County",75252,,2,44,2020,1,2,2,20,0,0.0,0.0,0.04,21.686404313601816,3.0,0.0,7.756041151287297,21.611111111111114
"VT, Chittenden County",75252,,2,45,2020,1,2,2,21,0,0.0,0.0,0.38,21.6845678227746,3.0,0.0,7.714576902567257,21.611111111111114
"VT, Chittenden County",75252,,2,46,2020,1,2,2,22,0,0.0,0.0,0.83,21.623838889560616,4.0,0.0,7.364714264751951,21.555555555555557
"VT, Chittenden County",75252,,2,47,2020,1,2,2,23,0,0.0,0.0,1.09,21.451619963203083,3.0,0.0,7.501159015105252,21.38888888888889
"VT, Chittenden County",75252,,2,48,2020,1,2,2,24,0,0.0,0.0,1.25,21.221849921902383,3.0,0.0,6.804808870929236,21.166666666666664
"VT, Chittenden County",75252,,2,49,2020,1,3,3,1,0,0.0,0.0,1.15,21.10309488736809,4.0,0.0,7.432225520150671,21.055555555555557
"VT, Chittenden County",75252,,2,50,2020,1,3,3,2,0,0.0,0.0,1.29,21.09925040381732,4.0,0.0,6.947575503205473,21.055555555555557
"VT, Chittenden County",75252,,2,51,2020,1,3,3,3,0,0.0,0.0,1.23,21.152409814110094,4.0,0.0,7.262073846933221,21.11111111111111
"VT, Chittenden County",75252,,2,52,2020,1,3,3,4,0,0.0,0.0,1.12,21.15202906274452,4.0,0.0,7.372475056561692,21.11111111111111
"VT, Chittenden County",75252,,2,53,2020,1,3,3,5,0,0.0,0.0,0.76,21.15008727107732,4.0,0.0,7.449668988277386,21.11111111111111
"VT, Chittenden County",75252,,2,54,2020,1,3,3,6,0,0.0,0.0,0.48,21.259888907458617,4.0,0.0,6.220111908128865,21.22222222222222
"VT, Chittenden County",75252,,2,55,2020,1,3,3,7,0,0.0,0.0,0.58,21.48279264191477,4.0,0.0,8.13998211617944,21.444444444444443
"VT, Chittenden County",75252,,2,56,2020,1,3,3,8,0,0.0,0.0,0.79,21.542464765670946,3.0,0.0,8.087682821060836,21.5
"VT, Chittenden County",75252,,2,57,2020,1,3,3,9,0,199.88,35.16,1.07,21.43238584922038,3.0,0.0,7.510463697966727,21.38888888888889
"VT, Chittenden County",75252,,2,58,2020,1,3,3,10,0,374.41,49.59,1.49,21.31590535456445,3.0,0.0,6.80924714277506,21.27777777777778
"VT, Chittenden County",75252,,2,59,2020,1,3,3,11,0,181.48,76.78,1.73,21.366272254553,3.0,0.0,6.650533322286731,21.333333333333336
"VT, Chittenden County",75252,,2,60,2020,1,3,3,12,0,134.46,91.91,1.9,21.362064118552503,3.0,0.0,6.501568130989872,21.333333333333336
"VT, Chittenden County",75252,,2,61,2020,1,3,3,13,0,94.46,56.66,2.08,21.36190835856629,3.0,0.0,6.348712547400329,21.333333333333336
"VT, Chittenden County",75252,,2,62,2020,1,3,3,14,0,146.66,80.94,2.22,21.36092924128461,3.0,0.0,6.273499670419056,21.333333333333336
"VT, Chittenden County",75252,,2,63,2020,1,3,3,15,0,121.88,26.16,2.17,21.359564489211127,3.0,0.0,6.468625334448289,21.333333333333336
"VT, Chittenden County",75252,,2,64,2020,1,3,3,16,0,80.51,27.96,1.74,21.358432427534147,2.0,0.0,6.327761924331251,21.333333333333336
"VT, Chittenden County",75252,,2,65,2020,1,3,3,17,0,0.0,0.0,1.26,21.46874471787318,2.0,0.0,7.187984435916744,21.444444444444443
"VT, Chittenden County",75252,,2,66,2020,1,3,3,18,0,0.0,0.0,0.94,21.580335392267475,3.0,0.0,7.664796566572258,21.555555555555557
"VT, Chittenden County",75252,,2,67,2020,1,3,3,19,0,0.0,0.0,0.59,21.638199078538268,3.0,0.0,7.849526076564376,21.611111111111114
"VT, Chittenden County",75252,,2,68,2020,1,3,3,20,0,0.0,0.0,0.48,21.638002551216744,3.0,0.0,7.842153935038138,21.611111111111114
"VT, Chittenden County",75252,,2,69,2020,1,3,3,21,0,0.0,0.0,0.36,21.639169763824324,3.0,0.0,7.77606857711324,21.611111111111114
"VT, Chittenden County",75252,,2,70,2020,1,3,3,22,0,0.0,0.0,0.19,21.582339273798418,4.0,0.0,6.876869229518001,21.555555555555557
"VT, Chittenden County",75252,,2,71,2020,1,3,3,23,0,0.0,0.0,-0.15,21.412112462264837,3.0,0.0,7.952072223060495,21.38888888888889
"VT, Chittenden County",75252,,2,72,2020,1,3,3,24,0,0.0,0.0,-0.6,21.197904965746513,4.0,0.0,7.229667126427299,21.166666666666664
"VT, Chittenden County",75252,,2,73,2020,1,4,4,1,0,0.0,0.0,-1.12,21.05884413733974,4.0,0.0,8.03161507006536,21.055555555555557
"VT, Chittenden County",75252,,2,74,2020,1,4,4,2,0,0.0,0.0,-1.88,21.06109324883624,4.0,0.0,7.722935587712853,21.055555555555557
"VT, Chittenden County",75252,,2,75,2020,1,4,4,3,0,0.0,0.0,-2.63,21.115192300635634,4.0,0.0,7.756129069844998,21.11111111111111
"VT, Chittenden County",75252,,2,76,2020,1,4,4,4,0,0.0,0.0,-3.26,21.116725767247633,4.0,0.0,8.691010741458701,21.11111111111111
"VT, Chittenden County",75252,,2,77,2020,1,4,4,5,0,0.0,0.0,-4.49,21.11878356137526,3.0,0.0,9.231577584017748,21.11111111111111
"VT, Chittenden County",75252,,2,78,2020,1,4,4,6,0,0.0,0.0,-5.74,21.230102819185575,2.0,0.0,10.048147964543444,21.22222222222222
"VT, Chittenden County",75252,,2,79,2020,1,4,4,7,0,0.0,0.0,-5.8,21.44564015347165,2.0,0.0,10.695563219345594,21.444444444444443
"VT, Chittenden County",75252,,2,80,2020,1,4,4,8,0,0.0,0.0,-5.66,21.52499836062388,2.0,0.0,10.871134594825511,21.5
"VT, Chittenden County",75252,,2,81,2020,1,4,4,9,0,10.19,40.8,-5.15,21.412612631055683,2.0,0.0,10.240428707946208,21.38888888888889
"VT, Chittenden County",75252,,2,82,2020,1,4,4,10,0,34.29,34.18,-4.02,21.295673840025074,2.0,0.0,8.842199412055084,21.27777777777778
"VT, Chittenden County",75252,,2,83,2020,1,4,4,11,0,45.78,66.15,-3.1,21.34778885484963,2.0,0.0,9.27111543359476,21.333333333333336
"VT, Chittenden County",75252,,2,84,2020,1,4,4,12,0,55.49,83.93,-2.82,21.34354404199123,3.0,0.0,9.007127128684006,21.333333333333336
"VT, Chittenden County",75252,,2,85,2020,1,4,4,13,0,56.88,99.34,-2.3,21.344859293283932,3.0,0.0,8.666588130111956,21.333333333333336
"VT, Chittenden County",75252,,2,86,2020,1,4,4,14,0,58.62,64.8,-2.18,21.343777831361034,2.0,0.0,8.636434136013088,21.333333333333336
"VT, Chittenden County",75252,,2,87,2020,1,4,4,15,0,53.21,44.15,-2.24,21.343501461213112,3.0,0.0,8.533793527784779,21.333333333333336
"VT, Chittenden County",75252,,2,88,2020,1,4,4,16,0,16.44,35.77,-2.62,21.343149513494467,3.0,0.0,7.9211054744107825,21.333333333333336
"VT, Chittenden County",75252,,2,89,2020,1,4,4,17,0,0.0,0.0,-3.31,21.45458584993264,2.0,0.0,9.382139977292493,21.444444444444443
"VT, Chittenden County",75252,,2,90,2020,1,4,4,18,0,0.0,0.0,-3.74,21.566842302421612,2.0,0.0,8.862766673670135,21.555555555555557
"VT, Chittenden County",75252,,2,91,2020,1,4,4,19,0,0.0,0.0,-4.07,21.626685399956553,3.0,0.0,9.655099982624757,21.611111111111114
"VT, Chittenden County",75252,,2,92,2020,1,4,4,20,0,0.0,0.0,-4.29,21.62690174290934,3.0,0.0,9.768190196363845,21.611111111111114
"VT, Chittenden County",75252,,2,93,2020,1,4,4,21,0,0.0,0.0,-4.53,21.629963256035502,3.0,0.0,9.999754178394062,21.611111111111114
"VT, Chittenden County",75252,,2,94,2020,1,4,4,22,0,0.0,0.0,-4.81,21.57331402618518,3.0,0.0,10.014821457068773,21.555555555555557
"VT, Chittenden County",75252,,2,95,2020,1,4,4,23,0,0.0,0.0,-5.05,21.40477386277223,3.0,0.0,10.262953407676068,21.38888888888889
"VT, Chittenden County",75252,,2,96,2020,1,4,4,24,0,0.0,0.0,-5.75,21.174580606876756,3.0,0.0,9.63904802095798,21.166666666666664
"VT, Chittenden County",75252,,2,97,2020,1,5,5,1,0,0.0,0.0,-6.45,21.050516348188143,3.0,0.0,10.135471893138453,21.055555555555557
"VT, Chittenden County",75252,,2,98,2020,1,5,5,2,0,0.0,0.0,-6.99,21.04666113628516,3.0,0.0,10.433148928298232,21.055555555555557
"VT, Chittenden County",75252,,2,99,2020,1,5,5,3,0,0.0,0.0,-8.03,21.105538026482233,4.0,0.0,11.158585667018341,21.11111111111111
"VT, Chittenden County",75252,,2,100,2020,1,5,5,4,0,0.0,0.0,-9.3,21.107844749881686,4.0,0.0,11.80043830338052,21.11111111111111
"VT, Chittenden County",75252,,2,101,2020,1,5,5,5,0,0.0,0.0,-10.18,21.110584415387006,3.0,0.0,12.320643349775283,21.11111111111111
