Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
1,1,1,0,19.485013965014062,,23.17851474076975,0.33956122989522286,0.0,0.0,5.296266030454089,0.0,1.0,0.0,2
1,2,1,0,19.46461695074048,,23.201456853407556,0.3675446519074622,0.0,0.0,5.047490737862787,0.0,1.0,0.0,2
1,3,1,0,19.376610482529845,,23.298376823258565,0.3365471607426492,0.0,0.0,5.344717405802472,0.0,1.0,0.0,2
1,4,1,0,19.33580124357117,,23.299074074308095,0.34096068425639725,0.0,0.0,5.576615438225268,0.0,1.0,0.0,2
1,5,1,0,19.405462035952546,,23.14500150048783,0.3619391521047993,0.0,0.0,5.891531002169093,0.0,1.0,0.0,2
1,6,1,0,19.600078508800895,,22.827911572676708,0.40321209731569435,0.0,0.0,6.340430112350064,0.0,1.0,0.0,2
1,7,1,0,19.901041360468646,,22.39289613846572,0.47083942120060274,0.0,0.0,6.938616007864591,0.0,1.0,0.0,2
1,8,1,0,20.019013362375873,,22.16811181702014,0.5776881532642036,0.0,0.0,7.127299921121229,0.0,1.0,0.0,2
1,9,1,0,20.050756463851904,,22.074204946944935,0.8042211735067292,0.0,0.0,7.08973840238796,0.0,1.0,0.0,2
1,10,1,0,20.026295350324126,,22.122931114574264,1.0131950990963638,0.0,0.0,6.937739151637675,0.0,1.0,0.0,2
1,11,1,0,20.005235579818432,,22.123998861233503,1.0470404516409368,0.0,0.0,6.766168918137254,0.0,0.0,0.0,2
1,12,1,0,19.985433784377562,,22.149110626222438,1.0128847944555281,0.0,0.0,6.552299906312363,0.0,0.0,0.0,2
1,13,1,0,19.9677317308208,,22.193901470574477,1.0087815755826157,0.0,0.0,6.193526553977241,0.0,0.0,0.0,2
1,14,1,0,19.95229112052859,,22.291000668891506,1.4949807370487602,0.0,0.0,5.517390696853525,0.0,1.0,0.0,2
1,15,1,0,19.938823527800153,,22.387922478721833,1.417386184145506,0.0,0.0,5.184201862553567,0.0,1.0,0.0,2
1,16,1,0,19.980974772126952,,22.436992087227146,1.4326919125574293,0.0,0.0,5.1221675250781775,0.0,1.0,0.0,2
1,17,1,0,20.081593342212656,,22.67818338432489,3.6447753827083407,0.0,0.0,4.846594341652171,0.0,1.0,0.0,2
1,18,1,0,20.18431351008952,,22.55213773893292,1.7212697676064408,3.8891254956783223,0.0,5.225072166890173,0.0,1.0,0.0,2
1,19,1,0,20.284509541037067,,22.386215942112226,0.41486292507454225,0.9722878209669911,0.0,6.1715971376730705,0.0,0.0,0.0,2
1,20,1,0,20.284570927835567,,22.375414479030383,0.3854943324394472,0.9722820395223867,0.0,6.386493383465651,0.0,0.0,0.0,2
1,21,1,0,20.110965074486185,,22.617222832032944,0.3628694867932728,0.48614001602082596,0.0,6.787561830262984,0.0,0.0,0.0,2
1,22,1,0,19.778253086987696,,23.080238405470084,0.3854452349735278,0.0,0.0,5.861809583360912,0.0,0.0,0.0,2
1,23,1,0,19.356407186369292,,23.66345577820402,1.0472025152389626,0.0,0.0,5.102445251256882,0.0,1.0,0.0,2
1,24,1,0,19.1197632201312,,23.983153647314175,0.6912403338018016,0.0,0.0,5.2827220723518185,0.0,1.0,0.0,2
1,1,2,0,19.00201087961722,,24.103089162929642,0.33956122989522286,0.0,0.0,6.342003622214859,0.0,1.0,0.0,2
1,2,2,0,18.983369125152823,,24.060185477175082,0.3675446519074622,0.0,0.0,6.058904605523302,0.0,1.0,0.0,2
1,3,2,0,18.977494041618936,,24.009474978103235,0.3365471607426492,0.0,0.0,6.2302181047228515,0.0,1.0,0.0,2
1,4,2,0,18.978808662619528,,23.95526923202277,0.34096068425639725,0.0,0.0,6.296506164372931,0.0,1.0,0.0,2
1,5,2,0,19.08925203830085,,23.72582624178274,0.3619391521047993,0.0,0.0,6.588988613522334,0.0,1.0,0.0,2
1,6,2,0,19.304568684103288,,23.373274671776734,0.40321209731569435,0.0,0.0,7.066893296525646,0.0,1.0,0.0,2
1,7,2,0,19.651780434172466,,22.757681982343485,0.47083942120060274,0.0,0.0,7.74527474164543,0.0,1.0,0.0,2
1,8,2,0,19.773110305094814,,22.599448725968074,0.5776881532642036,2.849329733822829,0.0,6.093682801186267,0.0,1.0,0.0,2
