Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
1,1,1,0,21.4469359,,20.83421713,0.201274944,0,0,5.773122504,0,3,21.05555556,2
1,2,1,0,21.39704834,,20.90519482,0.200004462,0,0,6.06092282,0,3,21.05555556,2
1,3,1,0,21.44066124,,20.81345417,0.198904941,0,0,6.511402628,0,3,21.11111111,2
1,4,1,0,21.42992913,,20.75167648,0.197748432,0,0,6.694957342,0,3,21.11111111,2
1,5,1,0,21.41367817,,20.69261601,0.19647795,1.845283959,0,6.95226441,0,3,21.11111111,2
1,6,1,0,21.51332014,,20.5131162,0.280861522,0,0,6.903543717,0,3,21.22222222,2
1,7,1,0,21.72778861,,20.15719072,0.256585114,0,0,7.936169887,0,2,21.44444444,2
1,8,1,0,21.78118437,,19.95491966,0.308761144,0,0,7.676836818,0,1,21.5,2
1,9,1,0,21.66159545,,20.08532703,0.283281838,0.748044018,0,7.319038433,0,1,21.38888889,2
1,10,1,0,21.53473235,,20.22418621,0.283480336,0.498694537,0,6.983007871,0,1,21.27777778,2
1,11,1,0,21.57665986,,20.16492042,0.281019961,0.498695671,0,6.933834216,0,1,21.33333333,2
1,12,1,0,21.56574227,,20.17344726,0.280905193,0.249347783,0,6.948420297,0,1,21.33333333,2
1,13,1,0,21.55940302,,20.22268118,0.202562192,0,0,6.676003842,0,0,21.33333333,2
1,14,1,0,21.55256455,,20.41832063,1.051282572,0,0,6.122402102,0,2,21.33333333,2
1,15,1,0,21.54685506,,20.62478381,0.283241783,0,0,6.162150931,0,1,21.33333333,2
1,16,1,0,21.54131501,,20.65727152,0.292959132,0,0,6.135752791,0,1,21.33333333,2
1,17,1,0,21.64746313,,20.58418368,0.538432126,0,0,6.356083397,0,3,21.44444444,2
